Código Departamento,Código Municipio,Código Centro Poblado,Nombre Departamento,Nombre Municipio,Nombre Centro Poblado,Tipo Centro Poblado,Ubicación,Longitud,Latitud,Distrito,Tipo de Municipio,Area Metropolitana
5,"5,001","5,001,000",ANTIOQUIA,MEDELLÍN,MEDELLÍN,CABECERA MUNICIPAL (CM),"(6.24858636743, -75.5760017134)",-75.5760017134,6.24858636743,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,001",ANTIOQUIA,MEDELLÍN,PALMITAS,CABECERA CORREGIMIENTO MUNICIPAL (C),"(6.3439224059, -75.6899859872)",-75.6899859872,6.3439224059,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,004",ANTIOQUIA,MEDELLÍN,SANTA ELENA,CABECERA CORREGIMIENTO MUNICIPAL (C),"(6.20967456778, -75.5003166982)",-75.5003166982,6.20967456778,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,009",ANTIOQUIA,MEDELLÍN,ALTAVISTA,CABECERA CORREGIMIENTO MUNICIPAL (C),"(6.22248273057, -75.6299441751)",-75.6299441751,6.22248273057,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,010",ANTIOQUIA,MEDELLÍN,AGUAS FRÍAS,CABECERA CORREGIMIENTO MUNICIPAL (C),"(6.2333355874, -75.6339460169)",-75.6339460169,6.2333355874,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,012",ANTIOQUIA,MEDELLÍN,LA LOMA,CENTRO POBLADO (CP),"(6.26890878235, -75.6297540724)",-75.6297540724,6.26890878235,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,013",ANTIOQUIA,MEDELLÍN,SAN JOSÉ DEL MANZANILLO,CENTRO POBLADO (CP),"(6.20581068001, -75.61342487)",-75.61342487,6.20581068001,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,014",ANTIOQUIA,MEDELLÍN,BARRO BLANCO,CENTRO POBLADO (CP),"(6.23479805798, -75.4775622151)",-75.4775622151,6.23479805798,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,015",ANTIOQUIA,MEDELLÍN,EL CERRO,CENTRO POBLADO (CP),"(6.20035636487, -75.489476496)",-75.489476496,6.20035636487,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,017",ANTIOQUIA,MEDELLÍN,EL PATIO,CENTRO POBLADO (CP),"(6.27784108634, -75.6511004924)",-75.6511004924,6.27784108634,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,018",ANTIOQUIA,MEDELLÍN,EL PLACER,CENTRO POBLADO (CP),"(6.22476631163, -75.4930142589)",-75.4930142589,6.22476631163,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,019",ANTIOQUIA,MEDELLÍN,EL PLAN,CENTRO POBLADO (CP),"(6.20435971513, -75.5183705)",-75.5183705,6.20435971513,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,022",ANTIOQUIA,MEDELLÍN,LA ALDEA,CENTRO POBLADO (CP),"(6.34243040051, -75.7035503836)",-75.7035503836,6.34243040051,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,023",ANTIOQUIA,MEDELLÍN,LA CUCHILLA,CENTRO POBLADO (CP),"(6.29350870315, -75.6535467831)",-75.6535467831,6.29350870315,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,"5,001","5,001,025",ANTIOQUIA,MEDELLÍN,LA PALMA,CENTRO POBLADO (CP),"(6.27383086596, -75.6481527137)",-75.6481527137,6.27383086596,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
